PGC_name       PGC_no        vrad      e_vrad        vopt      e_vopt           v         e_v        vvir        zvir     z_err          type     objname   hl_names
PGC0000212         212     11230.4         4.5       11110          47     11229.3           9     11287.9     0.03765   3.002e-05         Sab      IC5381   PGC000212
PGC0000218         218      1050.3         4.8      1027.4          25      1049.5         4.5        1109    0.003699   1.501e-05         Sab     NGC7814  PGC1501809
PGC0000243         243       -9999       -9999      8914.3        16.3      8914.3        16.3      8841.8     0.02949   5.437e-05          S0     NGC7808 6dFJ0003321-104441
PGC0000255         255       878.1         4.1       -9999       -9999       878.1         4.1       932.9    0.003112   1.368e-05          Sm    UGC00017   PGC000255
PGC0000281         281       -9999       -9999     11490.7        16.4     11490.7        16.4       11416     0.03808    5.47e-05          Sc   PGC000281 MCG-02-01-015
PGC0000282         282       -9999       -9999       11344          48       11344          48     11269.3     0.03759   0.0001601          Sa   PGC000282 MCG-02-01-014
PGC0000451         451        5291         4.9      5284.1        27.6      5290.8         3.7      5340.9     0.01782   1.234e-05          Sd    UGC00043    UGC00043
PGC0000548         548      5430.8         4.9      5466.7        57.9        5431           4      5479.3     0.01828   1.334e-05          Sc    UGC00056    UGC00056
PGC0000635         635      9104.5        10.9      9125.9        19.5      9109.6         9.1      9034.3     0.03014   3.035e-05         SBa   PGC000635 HIPASSJ0008-10
PGC0000639         639       -9999       -9999     11936.2          34     11936.2          34     11910.6     0.03973   0.0001134          Sa    UGC00072 SDSSJ000838.19-004407.1
PGC0000647         647       863.2         3.9       838.2        31.2       862.8         3.5       918.8    0.003065   1.167e-05          IB     NGC0014 SDSSJ000846.41+154856.5
PGC0000670         670       -9999       -9999     17988.8        25.5     17988.8        25.5     17969.6     0.05994   8.506e-05          Sb    UGC00083  2MFGC00130
PGC0000825         825      6228.6         5.1       -9999       -9999      6228.6         5.1      6200.1     0.02068   1.701e-05          Sd    UGC00109   PGC000825
PGC0000963         963      3954.1         3.9      3973.4        13.4      3955.6         4.6      3927.9      0.0131   1.534e-05        SABc    UGC00139 HIPASSJ0014-00
PGC0001058        1058       11812        10.4     11820.2        21.5     11813.6         7.2     11787.4     0.03932   2.402e-05          Sc     NGC0060 6dFJ0015582-001813
PGC0001221        1221       -9999       -9999      8069.8          12      8069.8          12      7993.6     0.02666   4.003e-05         SBc   PGC001221 SDSSJ001850.13-102141.6
PGC0001224        1224        8140        10.9        8275           2      8270.6        17.1      8194.4     0.02733   5.704e-05         SBb   PGC001224 IRAS00163-1039
PGC0001237        1237     10989.9         5.3     11013.4        40.6     10990.3         4.4     11042.3     0.03683   1.468e-05         Sab    UGC00180  2MFGC00229
PGC0001293        1293      7618.2           5      7648.9          51      7618.5         4.2        7667     0.02557   1.401e-05         Scd    UGC00189   PGC001293
PGC0001306        1306       -9999       -9999      5092.6        13.1      5092.6        13.1      5070.4     0.01691    4.37e-05        S0-a    NGC0078A     KPG006B
PGC0001309        1309        5498        10.5      5452.7        29.3      5492.8        12.3      5470.7     0.01825   4.103e-05          S0    NGC0078B SDSSJ002027.51+005000.7
PGC0001478        1478      5238.4         6.1      5269.1        58.2      5238.7         4.8      5291.8     0.01765   1.601e-05          Sd    UGC00219   PGC001478
PGC0001523        1523      5310.1         5.8      5315.2        23.8      5310.4         4.1      5360.8     0.01788   1.368e-05          Sc     NGC0099   PGC001523
PGC0001621        1621     11176.6         5.3     11175.6        59.4     11176.6         3.7     11219.3     0.03742   1.234e-05          Sc    UGC00247  2MFGC00301
PGC0001713        1713      3898.2           4      3908.9        16.1      3898.8         3.3        3864     0.01289   1.101e-05        SABc    UGC00272 HIPASSJ0027-01A
PGC0001747        1747       -9999       -9999     18415.9        29.5     18415.9        29.5     18385.8     0.06133    9.84e-05         SBb    UGC00280 6dFJ0028205-001304
PGC0001781        1781       760.9         5.2       756.1         1.5       756.5         1.4       805.7    0.002688    4.67e-06           I    UGC00290 SDSSJ002908.36+155356.7
PGC0001805        1805       -9999       -9999     17610.8        27.1     17610.8        27.1     17575.9     0.05863    9.04e-05          Sb    UGC00295 6dFJ0029329-010544
PGC0001841        1841        3520         6.5        3498        19.8      3517.9         6.3      3434.2     0.01146   2.101e-05         SBa   PGC001841 6dFJ0030073-110649
PGC0001862        1862        5363         9.4      5394.6        15.3      5371.6        11.5        5299     0.01768   3.836e-05         SBb   PGC001862  2MFGC00352
PGC0001909        1909        3589         6.2      3495.5         1.5      3500.9        15.4      3419.8     0.01141   5.137e-05        SBbc   PGC001909 SDSSJ003113.29-102900.7
