PGC_name         cz      redshift   nedname 
PGC000212       11231     0.03746     IC_5381
PGC000218        1050    0.003502    NGC_7814
PGC000243        8787     0.02931    NGC_7808
PGC000255         878    0.002929   UGC_00017
PGC000281       11491     0.03833 MCG_-02-01-015
PGC000282       11360     0.03789 MCG_-02-01-014
PGC000451        5291     0.01765   UGC_00043
PGC000548        5467     0.01824   UGC_00056
PGC000635        9106     0.03037 MCG_-02-01-028
PGC000639       11924     0.03977   UGC_00072
PGC000647         865    0.002885    NGC_0014
PGC000670       17994     0.06002   UGC_00083
PGC000825        6227     0.02077   UGC_00109
PGC000963        3963     0.01322   UGC_00139
PGC001058       11827     0.03945    NGC_0060
PGC001221        8193     0.02733 ARP_256_NED02
PGC001224        8125      0.0271 ARP_256_NED01
PGC001237       11073     0.03694   UGC_00180
PGC001293        7649     0.02551   UGC_00189
PGC001306        5079     0.01694   NGC_0078A
PGC001309        5527     0.01844   NGC_0078B
PGC001478        5241     0.01748   UGC_00219
PGC001523        5308     0.01771    NGC_0099
PGC001621       11176     0.03728   UGC_00247
PGC001713        3895     0.01299   UGC_00272
PGC001747       18420     0.06144   UGC_00280
PGC001781         756    0.002522   UGC_00290
PGC001805       17622     0.05878   UGC_00295
PGC001841        3513     0.01172 MCG_-02-02-030
PGC001862        5388     0.01797 MCG_-02-02-033
PGC001909        3589     0.01197 MCG_-02-02-038
PGC001932        3573     0.01192 MCG_-02-02-040
PGC001933       11430     0.03813   UGC_00316
PGC001936        5361     0.01788   UGC_00317
PGC002016        1985    0.006622   UGC_00328
PGC002035        3747      0.0125    NGC_0151
PGC002076        6210     0.02071    NGC_0155
PGC002149        5982     0.01995    NGC_0163
PGC002151        4937     0.01647      VV_548
PGC002182        5881     0.01962    NGC_0165
PGC002269        5239     0.01747 MCG_-02-02-073
PGC002288        5384     0.01796   UGC_00386
PGC002331        6076     0.02027    NGC_0191
PGC002332        6131     0.02045   NGC_0191A
PGC002352        4133     0.01379    NGC_0192
PGC002357        4255     0.01419    NGC_0196
PGC002365        4121     0.01375    NGC_0197
PGC002388        4415     0.01473    NGC_0201
PGC002391        4907     0.01637    NGC_0195
PGC002440        5853     0.01952     IC_1571
PGC002482        3976     0.01326    NGC_0217
PGC002501       16690     0.05567 MCG_-02-02-086
PGC002522        5472     0.01825    NGC_0219
PGC002527        5328     0.01777    NGC_0223
PGC002597        4175     0.01393    NGC_0237
PGC002600        4452     0.01485    NGC_0234
PGC002615        5395       0.018   UGC_00466
PGC002768       11787     0.03932   UGC_00488
PGC002800        5770     0.01925 MCG_-02-03-015
PGC002805        1345    0.004487    UGCA_014
PGC002889        5234     0.01746   UGC_00507
PGC003072        5476     0.01827   UGC_00533
PGC003140        5705     0.01903    NGC_0291
PGC003232        5428     0.01811   UGC_00560
PGC003312       13270     0.04426   UGC_00570
PGC003314       11931      0.0398   UGC_00572
PGC003355       11975     0.03994   UGC_00582
PGC003377        5662     0.01889    NGC_0309
PGC003451       -9999        -100   UGC_00599
PGC003496        6866      0.0229 MCG_-02-03-053
PGC003563        5517      0.0184   UGC_00615
PGC003566        5242     0.01749   UGC_00618
PGC003569       12197     0.04068   UGC_00619
PGC003584        5409     0.01804 MCG_-02-03-061
PGC003620        4553     0.01519    NGC_0341
PGC003781        5204     0.01736   UGC_00651
PGC003817        5337      0.0178    NGC_0359
PGC003830       15214     0.05075   UGC_00663
PGC003833        5127      0.0171    NGC_0364
PGC003904        5201     0.01735   UGC_00675
PGC003960       11472     0.03827     IC_1620
PGC003976        5361     0.01788    NGC_0391
PGC004116       11520     0.03843   UGC_00717
PGC004124       11272      0.0376   UGC_00719
PGC004363        5199     0.01734    NGC_0426
PGC004367        1152    0.003843    NGC_0428
PGC004368        5625     0.01876    NGC_0429
PGC004376        5299     0.01768    NGC_0430
PGC004415        5165     0.01723   UGC_00771
PGC004416        1161    0.003873   UGC_00772
PGC004484        5588     0.01864    NGC_0442
PGC004485        4639     0.01547   UGC_00790
PGC004500       13460      0.0449   UGC_00797
PGC004540        1761    0.005874    NGC_0450
PGC004608        5089     0.01698   UGC_00823
PGC004647        1938    0.006464 SDSS_J011730.51-091748.3
PGC004663        4083     0.01362 MCG_-02-04-020
PGC004734        5242     0.01749   UGC_00847
PGC004793        4137      0.0138    NGC_0471
PGC004805        1743    0.005814   UGC_00866
PGC004812       14037     0.04682   UGC_00867
PGC004897        5121     0.01708 CGCG_436-032
PGC004899        5533     0.01846    NGC_0481
PGC004906        5240     0.01748   UGC_00892
PGC004979        2338    0.007799    NGC_0493
PGC004992        8141     0.02716    NGC_0497
PGC005055        8269     0.02758   UGC_00928
PGC005056        7464      0.0249   UGC_00929
PGC005078       10256     0.03421   UGC_00933
PGC005220        4735     0.01579   UGC_00971
PGC005261        6503     0.02169     IC_1698
PGC005270       11095     0.03701   UGC_00985
PGC005271        6356      0.0212     IC_0107
PGC005291        5107     0.01704   UGC_00998
PGC005298       15754     0.05255   UGC_00999
PGC005326        5404     0.01803    NGC_0548
PGC005330        1923    0.006414   UGC_01011
PGC005366        5446     0.01817   UGC_01018
PGC005415        4505     0.01503   UGC_01026
PGC005436        4489     0.01497   UGC_01040
PGC005449        5243     0.01749   UGC_01043
PGC005527        6378     0.02127   UGC_01057
PGC005539        5504     0.01836    NGC_0570
PGC005540        5472     0.01825   UGC_01062
PGC005574        5168     0.01724   UGC_01072
PGC005645        4520     0.01508   UGC_01083
PGC005673        4485     0.01496   UGC_01087
PGC005688        5431     0.01812    NGC_0585
PGC005771        4636     0.01546     IC_0138
PGC005776        4971     0.01658   UGC_01107
PGC005792        2766    0.009226   UGC_01110
PGC005803        4733     0.01579   UGC_01116
PGC005830        4665     0.01556   UGC_01120
PGC005838        4906     0.01637   UGC_01123
PGC005932        5880     0.01961    NGC_0624
PGC005939        5161     0.01722    NGC_0622
PGC006004       12367     0.04125 MCG_-02-05-020
PGC006005       10587     0.03532   UGC_01156
PGC006090        4950     0.01651   UGC_01169
PGC006155       12741      0.0425    NGC_0647
PGC006193        8126     0.02711   UGC_01181
PGC006292         774    0.002582     IC_0148
PGC006309         808    0.002695   UGC_01200
PGC006318         850    0.002835    NGC_0660
PGC006364        2408    0.008032   UGC_01211
PGC006450       15538     0.05183 MCG_-02-05-041
PGC006504        1825    0.006088 MCG_-02-05-043
PGC006505        3915     0.01306     IC_0159
PGC006516        7356     0.02454   UGC_01242
PGC006627        5013     0.01672   UGC_01261
PGC006628        5083     0.01696   UGC_01262
PGC006636        4791     0.01598   UGC_01264
PGC006637        1588    0.005297 MCG_-02-05-051
PGC006657        5086     0.01697   UGC_01271
PGC006667        1985    0.006622    UGCA_021
PGC006670        7873     0.02626   UGC_01274
PGC006671        1760    0.005872    NGC_0681
PGC006673        5100     0.01701    NGC_0677
PGC006678       10024     0.03344   UGC_01278
PGC006826        1831    0.006108    NGC_0701
PGC006832       12951      0.0432     IC_1738
PGC006835       12797     0.04269   UGC_01321
PGC006855        4821     0.01608   UGC_01322
PGC006861        5477     0.01827    NGC_0707
PGC006888       17759     0.05924   UGC_01333
PGC006982        4558      0.0152    NGC_0716
PGC006986       17863     0.05958   UGC_01354
PGC007022        7918     0.02641   UGC_01362
PGC007042        5111     0.01705   UGC_01364
PGC007046        4745     0.01583   UGC_01367
PGC007063        6229     0.02078   UGC_01370
PGC007064       15634     0.05215 MCG_-02-05-071
PGC007090        5771     0.01925   UGC_01382
PGC007114        6393     0.02133   UGC_01386
PGC007118        3832     0.01278    NGC_0731
PGC007210        8126     0.02711 KUG_0153-102A
PGC007246        7658     0.02554   UGC_01408
PGC007262        1639    0.005467    NGC_0755
PGC007328        6648     0.02218     IC_1756
PGC007341        7941     0.02649     IC_1755
PGC007366        5378     0.01794    NGC_0747
PGC007465        7021     0.02342    NGC_0768
PGC007485        4754     0.01586 KUG_0156-084
PGC007533        4608     0.01537   UGC_01468
PGC007536        4620     0.01541    NGC_0774
PGC007574        8340     0.02782   UGC_01481
PGC007632        4720     0.01574    NGC_0787
PGC007654        1608    0.005363 MCG_-02-06-016
PGC007740        5966      0.0199    NGC_0800
PGC007741        5915     0.01973    NGC_0799
PGC007748       12818     0.04276   UGC_01525
PGC007806        3864     0.01289    UGCA_023
PGC007835        3944     0.01316    NGC_0806
PGC007846        3660     0.01221     IC_0195
PGC007856        3646     0.01216     IC_0196
PGC007889        5367      0.0179    NGC_0809
PGC007905        1923    0.006414    NGC_0811
PGC007965        7665     0.02557    NGC_0810
PGC007966        7528     0.02511   UGC_01584
PGC007979       12820     0.04276   UGC_01588
PGC007998        1921    0.006409 KUG_0203-100
PGC008014        7431     0.02479   UGC_01593
PGC008029       12722     0.04244   UGC_01597
PGC008060        5952     0.01985   UGC_01603
PGC008165        4418     0.01474    NGC_0820
PGC008182        4056     0.01353    NGC_0829
PGC008201        3860     0.01288    NGC_0830
PGC008225        3864     0.01289    NGC_0833
PGC008228        4073     0.01359    NGC_0835
PGC008232        1938    0.006464     IC_0210
PGC008250        3851     0.01284    NGC_0838
PGC008258        3857     0.01287    NGC_0842
PGC008295        1998    0.006665 KUG_0207-099
PGC008302        3539      0.0118   UGC_01665
PGC008397        1531    0.005107    NGC_0853
PGC008399        7744     0.02583   UGC_01687
PGC008406        4412     0.01472   UGC_01689
PGC008412        3821     0.01274   UGC_01693
PGC008439       12185     0.04065   UGC_01698
PGC008464       12312     0.04107   UGC_01702
PGC008502        4787     0.01597 KUG_0210-078
PGC008522       12336     0.04115   UGC_01710
PGC008526        5974     0.01993    NGC_0856
PGC008586        7910     0.02639    NGC_0863
PGC008659        8046     0.02684    NGC_0868
PGC008718        6471     0.02159    NGC_0867
PGC008876        7716     0.02574   UGC_01794
PGC008929        7306     0.02437   UGC_01809
PGC008979       -9999      -99.99   UGC_01824
PGC009028        1539    0.005134   UGC_01839
PGC009256        6421     0.02142    NGC_0926
PGC009283        1535     0.00512     IC_0225
PGC009352        6353     0.02119    NGC_0934
PGC009359        1430     0.00477    NGC_0936
PGC009376       12275     0.04094   UGC_01934
PGC009406        1464    0.004883   UGC_01949
PGC009414        1608    0.005364    NGC_0941
PGC009445        6063     0.02022   UGC_01962
PGC009514        6605     0.02203     IC_0231
PGC009530        1507    0.005027   UGC_01981
PGC009549        1487     0.00496    NGC_0955
PGC009617        6334     0.02113   UGC_01998
PGC009621        4916      0.0164    NGC_0960
PGC009642        6609     0.02204   UGC_02005
PGC009643        6541     0.02182   UGC_02004
PGC009684        6162     0.02055   UGC_02018
PGC009711        6698     0.02234   UGC_02024
PGC009765        6585     0.02196   UGC_02044
PGC009817       12934     0.04314    NGC_0985
PGC009822        6602     0.02202 KUG_0232-079
PGC009843        1510    0.005037    NGC_0988
PGC009846        1532     0.00511    NGC_0991
PGC009869        2616    0.008726   UGC_02081
PGC009880       11228     0.03745   UGC_02088
PGC009894        6597     0.02201   UGC_02091
PGC010060        2694    0.008986    NGC_1032
PGC010065        1241     0.00414    NGC_1035
PGC010108        7285      0.0243    NGC_1033
