PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0000212           2         1.8     .S..2$/        1.16        0.58          54      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000218           2         0.3     .SAS2*/        1.74        0.38         135       11.56        0.13        0.99        0.02        1042    0.003476
PGC0000243          -2         1.2     PLA.0*.         1.1      -99.99       -9999       13.48        0.13        0.85        0.03        8923     0.02976
PGC0000255         9.3         0.6     .S..9*.        1.39        0.15       -9999        14.8         0.2        0.61        0.09       -9999      -99.99
PGC0000281           1         1.7     .S..1?.        0.34        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000282           5           1     .SBT5*.        1.06         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000451           8         1.4     .S..8*.           1        0.49         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000548           6         1.3     .S..6*.        0.96         0.1          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000635           1         0.9     .SBR1..        1.07        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000639           1         0.9     .S..1..        0.99        0.29          18      -99.99      -99.99      -99.99      -99.99       11924     0.03977
PGC0000647          10         0.3     RIBS9P.        1.45        0.13          25       12.71        0.16        0.58        0.04       -9999      -99.99
PGC0000670           3           1     .S..3..           1        0.94          39      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000825           8         1.2     .S..8*.        0.89        0.01       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0000963         4.7         0.6     .SXS5?.        1.33        0.34          82      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0001058           6         0.8     .SAR6P.        1.11        0.03         155      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0001221         4.5         0.6     .SBS5P.        1.05        0.17       -9999        13.6         0.3      -99.99      -99.99        8281     0.02762
