PGC_name         RA        DEC          z_hel   z_hel_err   z_hel_cat       z_dis   z_dis_err   z_dis_cat       z_all  z_all_type  z_all_err  z_all_err_type   D_com       D_lum      D_diam
PGC0000212   0.7970833  15.9650556     0.03746   3.002e-05          HL     0.03765      -99.99          HL     0.03765         DIS   3.002e-05         HEL    160.0045    166.0286    154.1989
PGC0000218   0.8121250  16.1454167    0.003501   1.501e-05          HL    0.003699      -99.99          HL    0.003699         DIS   1.501e-05         HEL     15.8343     15.8929     15.7759
PGC0000243   0.8839167 -10.7445833     0.02931      -99.99         NED     0.02907      -99.99  NED-vir-HL     0.02907         DIS      -99.99        none    123.6766    127.2719    120.1829
PGC0000255   0.9299583  15.2183056    0.002929   1.368e-05          HL    0.003112      -99.99          HL    0.003112         DIS   1.368e-05         HEL     13.2682     13.3095     13.2270
PGC0000281   1.0025000 -11.1777778     0.03833    5.47e-05          HL     0.03808      -99.99          HL     0.03808         DIS    5.47e-05         HEL    161.9017    168.0669    155.9627
PGC0000282   1.0063333 -11.1743056     0.03784   0.0001601          HL     0.03759      -99.99          HL     0.03759         DIS   0.0001601         HEL    159.7936    165.8003    154.0046
PGC0000451   1.5103333  14.4173611     0.01765   1.234e-05          HL     0.01782      -99.99          HL     0.01782         DIS   1.234e-05         HEL     75.9569     77.3105     74.6270
PGC0000548   1.7572083  14.1062778     0.01812   1.334e-05          HL     0.01828      -99.99          HL     0.01828         DIS   1.334e-05         HEL     78.0825     79.5099     76.6808
PGC0000635   2.1429167 -10.9494444     0.03039   3.035e-05          HL     0.03014      -99.99          HL     0.03014         DIS   3.035e-05         HEL    128.3305    132.1984    124.5758
PGC0000639   2.1595833  -0.7347222     0.03981   0.0001134          HL     0.03973      -99.99          HL     0.03973         DIS   0.0001134         HEL    168.8552    175.5638    162.4030
PGC0000647   2.1932917  15.8163889    0.002878   1.167e-05          HL    0.003065      -99.99          HL    0.003065         DIS   1.167e-05         HEL     13.0543     13.0943     13.0144
PGC0000670   2.3317917   0.5990278        0.06   8.506e-05          HL     0.05994      -99.99          HL     0.05994         DIS   8.506e-05         HEL    253.5877    268.7877    239.2472
PGC0000825   2.9562917  -1.0873611     0.02078   1.701e-05          HL     0.02068      -99.99          HL     0.02068         DIS   1.701e-05         HEL     88.2793     90.1049     86.4907
PGC0000963   3.6330833  -0.7378611     0.01319   1.534e-05          HL      0.0131      -99.99          HL      0.0131         DIS   1.534e-05         HEL     55.9547     56.6877     55.2312
PGC0001058   3.9930000  -0.3037500     0.03941   2.402e-05          HL     0.03932      -99.99          HL     0.03932         DIS   2.402e-05         HEL    166.9593    173.5241    160.6428
PGC0001221   4.7087500 -10.3616667     0.02733      -99.99         NED     0.02707      -99.99  NED-vir-HL     0.02707         DIS      -99.99        none    115.2094    118.3281    112.1729
PGC0001224   4.7119583 -10.3769167      0.0271      -99.99         NED     0.02685      -99.99  NED-vir-HL     0.02685         DIS      -99.99        none    114.3623    117.4329    111.3720
PGC0001237   4.7848750  15.7493056     0.03666   1.468e-05          HL     0.03683      -99.99          HL     0.03683         DIS   1.468e-05         HEL    156.6307    162.3994    151.0669
PGC0001293   4.9902500  15.0920278     0.02551      -99.99         NED     0.02568      -99.99  NED-vir-HL     0.02568         DIS      -99.99        none    109.4901    112.3018    106.7488
PGC0001306   5.1077083   0.8259167     0.01699    4.37e-05          HL     0.01691      -99.99          HL     0.01691         DIS    4.37e-05         HEL     72.1297     73.3494     70.9303
PGC0001309   5.1145833   0.8333056     0.01832   4.103e-05          HL     0.01825      -99.99          HL     0.01825         DIS   4.103e-05         HEL     77.8700     79.2911     76.4743
PGC0001478   5.7382500  16.2530000     0.01747   1.601e-05          HL     0.01765      -99.99          HL     0.01765         DIS   1.601e-05         HEL     75.3191     76.6485     74.0128
PGC0001523   5.9979167  15.7704722     0.01771   1.368e-05          HL     0.01788      -99.99          HL     0.01788         DIS   1.368e-05         HEL     76.3821     77.7478     75.0403
PGC0001621   6.4963333  14.3479444     0.03728   1.234e-05          HL     0.03742      -99.99          HL     0.03742         DIS   1.234e-05         HEL    158.9503    164.8982    153.2169
PGC0001713   6.9576667  -1.2000278       0.013   1.101e-05          HL     0.01289      -99.99          HL     0.01289         DIS   1.101e-05         HEL     55.1027     55.8129     54.4014
PGC0001747   7.0858333  -0.2181667     0.06143    9.84e-05          HL     0.06133      -99.99          HL     0.06133         DIS    9.84e-05         HEL    259.4330    275.3440    244.4414
PGC0001781   7.2852917  15.8990833    0.002523    4.67e-06          HL    0.002688      -99.99          HL    0.002688         DIS    4.67e-06         HEL     11.5571     11.5882     11.5261
