# EFIGI_SDSS.txt version 1.6.2 :
#
#        This file contains the PGC name, 
#        the unique SDSS photometric identifier and SDSS spectroscopic identifier,
#        the SDSS redshift, uncertainty and confidence level,
#	 for the 4458 galaxies of the EFIGI catalogue
#
# Table provided from http://efigi.org 
#
# Any use of these data must reference :
#  Baillard, B., Bertin, E., de Lapparent, V., et al. 2011, A&A, 532, A74
#
# Comments on table content should be sent to the EFIGI user forum: http://efigi.org/forum
# or to Valerie de Lapparent (lapparen at iap.fr) and Emmanuel Bertin (bertin at iap.fr)
#
###########################################################################################################################
#
# Description  
#--------------
#
#      PGC_name	     PGC name		
#      objID	     Unique SDSS photometric identifier composed from skyVersion, rerun, run, camcol, field, obj
#      specObjID     Unique SDSS spectroscopic identifier
#      z  	     Redshift 
#      zErr  	     Uncertainty in redshift 
#      zConf         Confidence level in redshift 
#
# Notes  
#-------
#
#    Objects are ordered with increasing PGC number
#    Undefined values of SDSS photometric and spectroscopic identifiers are listed as "none"
#    Undefined values of z, zErr and zConf are listed as -99.99
#    
###########################################################################################################################
#
# PGC_name       objId            SpecObjId             z         zErr         zConf
PGC0000212 587730775499735086 211330582687252480     0.03745   0.0001874      0.9988
PGC0000218 587727223561388198        none             -99.99      -99.99      -99.99
PGC0000243 587727178449879045 183182687387779072     0.02961   0.0001772      0.9987
PGC0000255 587727222487646439 211330582808887296    0.002882   0.0001391      0.7125
PGC0000281 587727177913008262 183182687425527808     0.03834   7.929e-05      0.9948
PGC0000282 587727177913008261        none             -99.99      -99.99      -99.99
PGC0000451 587727221414166687 211612124835741696     0.01761   8.339e-05      0.9709
PGC0000548 587727220877426870 211612124378562560      0.0181   0.0001908      0.9798
PGC0000635 587727225154175108 183464154252705792     0.03035   0.0001644      0.9995
PGC0000639 588015508196556925 109434740586577920       5.953    0.003201         0.5
PGC0000647 587727223025106954 211612126307942400    0.002887   9.018e-05           1
PGC0000670 588015509807235233 109434742377545728     0.05996   0.0001581      0.9996
PGC0000825 588015507660013643        none             -99.99      -99.99      -99.99
PGC0000963 588015508197212201 109716224643956736     0.01317   0.0001145      0.9873
PGC0001058 588015508734214286 109998151003275264      0.0394   0.0001857       0.998
